tweets,clean_tweets,sentiment
"RT @SaketGokhale: I was arrested on orders of BJP, got bail, re-arrested, &amp; got bail again - all in a span of 4 days. I’m grateful to the H…",rt arrested orders bjp bail rearrested amp bail span 4 days grateful,negative
"RT @ashutosh83B: Gujarat - BJP won 

Himachal - BJP lost 

MCD - BJP lost 

Bi-elections - Out of 7 BJP lost 5 

So BJP lost series by 1-3…",rt gujarat bjp himachal bjp lost mcd bjp lost bielections 7 bjp lost 5 bjp lost series 13,neutral
"RT @BJP4India: Prime Minister Shri @narendramodi’s public programs in Maharashtra on December 11. 

Watch live: 
📺https://t.co/ZFyEVlesOi
📺…",rt prime minister shri public programs maharashtra december 11 watch live,positive
@karam_sindhu @moolchandbjphry @DiprHaryana @CMOHaryana yes definitely brother . they did fraud  &amp; misusing  person… https://t.co/bXs8nqr6Rk,definitely brother fraud amp misusing person,neutral
"RT @MJ_007Club: BJP MP Harnath Yadav tables bill in Rajya Sabha to repeal Places of Worship Act

Two Private bills placed in Rajya Sabha y'…",rt bjp mp harnath yadav tables bill rajya sabha repeal places worship act private bills rajya sabha,neutral
"RT @indhavaainko: TN BJP is doing something very right 

Annamalai’s short speech videos are spreading. 2nd time this week, I saw someone i…",rt tn bjp annamalais short speech videos spreading 2nd time week,neutral
"RT @Starboy2079: BJP needs to think now-

- Why Delhi voters give 7/7 seats to Modi but don't vote to state BJP

- Why Rajasthan voters giv…",rt bjp delhi voters give 77 seats modi vote state bjp rajasthan voters giv,neutral
"RT @TimesAlgebraIND: HUGE :- Karnataka BJP govt renames Salaam Aarti started by Tipu Sultan to Namaskara.

Hindu organizations said their l…",rt huge karnataka bjp govt renames salaam aarti started tipu sultan namaskara hindu organizations,positive
"@ranjeetspecial @balbir59 He is simply a loud mouth otherwise being Himachali and BJP President,it should have won with record seats",simply loud mouth himachali bjp presidentit record seats,positive
"RT @Sassy_Hindu: The BJP needs to stop talking about the Population Control Bill, NRC, &amp; UCC. They just need to make them happen. Political…",rt bjp stop talking population control bill nrc amp ucc make happen political,neutral
